Flight No.,Launch site,Payload,Payload mass,Orbit,Customer,Launch outcome,Version Booster,Booster landing,Date,Time
78,"<td><a class=""mw-redirect"" href=""/wiki/Cape_Canaveral_Air_Force_Station"" title=""Cape Canaveral Air Force Station"">CCAFS</a>,<br/><a href=""/wiki/Cape_Canaveral_Space_Launch_Complex_40"" title=""Cape Canaveral Space Launch Complex 40"">SLC-40</a>
</td>","<td><a href=""/wiki/Starlink"" title=""Starlink"">Starlink</a> 2 v1.0 (60 satellites)
</td>","15,600 kg","<td><a href=""/wiki/Low_Earth_orbit"" title=""Low Earth orbit"">LEO</a>
</td>","<td><a href=""/wiki/SpaceX"" title=""SpaceX"">SpaceX</a>
</td>","Success
",F9 B5,Success,7 January 2020,02:19:21
79,"<td><a href=""/wiki/Kennedy_Space_Center"" title=""Kennedy Space Center"">KSC</a>,<br/><a href=""/wiki/Kennedy_Space_Center_Launch_Complex_39A"" title=""Kennedy Space Center Launch Complex 39A"">LC-39A</a>
</td>","<td><a href=""/wiki/SpaceX_Dragon_2#In-flight_abort_test"" title=""SpaceX Dragon 2"">Crew Dragon in-flight abort test</a><sup class=""reference"" id=""cite_ref-sn20150702_507-0""><a href=""#cite_note-sn20150702-507"">[495]</a></sup><br/>(Dragon C205.1)
</td>","12,050 kg","<td><a class=""mw-redirect"" href=""/wiki/Sub-orbital"" title=""Sub-orbital"">Sub-orbital</a><sup class=""reference"" id=""cite_ref-508""><a href=""#cite_note-508"">[496]</a></sup>
</td>","<td><a href=""/wiki/NASA"" title=""NASA"">NASA</a> (<a class=""mw-redirect"" href=""/wiki/ISS_Crew_Transportation_Services"" title=""ISS Crew Transportation Services"">CTS</a>)<sup class=""reference"" id=""cite_ref-CCD6_509-0""><a href=""#cite_note-CCD6-509"">[497]</a></sup>
</td>","Success
",F9 B5,"No attempt
",19 January 2020,15:30
80,"<td><a class=""mw-redirect"" href=""/wiki/Cape_Canaveral_Air_Force_Station"" title=""Cape Canaveral Air Force Station"">CCAFS</a>,<br/><a href=""/wiki/Cape_Canaveral_Space_Launch_Complex_40"" title=""Cape Canaveral Space Launch Complex 40"">SLC-40</a>
</td>","<td><a href=""/wiki/Starlink"" title=""Starlink"">Starlink</a> 3 v1.0 (60 satellites)
</td>","15,600 kg","<td><a href=""/wiki/Low_Earth_orbit"" title=""Low Earth orbit"">LEO</a>
</td>","<td><a href=""/wiki/SpaceX"" title=""SpaceX"">SpaceX</a>
</td>","Success
",F9 B5,Success,29 January 2020,14:07
81,"<td><a class=""mw-redirect"" href=""/wiki/Cape_Canaveral_Air_Force_Station"" title=""Cape Canaveral Air Force Station"">CCAFS</a>,<br/><a href=""/wiki/Cape_Canaveral_Space_Launch_Complex_40"" title=""Cape Canaveral Space Launch Complex 40"">SLC-40</a>
</td>","<td><a href=""/wiki/Starlink"" title=""Starlink"">Starlink</a> 4 v1.0 (60 satellites)
</td>","15,600 kg","<td><a href=""/wiki/Low_Earth_orbit"" title=""Low Earth orbit"">LEO</a>
</td>","<td><a href=""/wiki/SpaceX"" title=""SpaceX"">SpaceX</a>
</td>","Success
",F9 B5,Failure,17 February 2020,15:05
82,"<td><a class=""mw-redirect"" href=""/wiki/Cape_Canaveral_Air_Force_Station"" title=""Cape Canaveral Air Force Station"">CCAFS</a>,<br/><a href=""/wiki/Cape_Canaveral_Space_Launch_Complex_40"" title=""Cape Canaveral Space Launch Complex 40"">SLC-40</a>
</td>","<td><a href=""/wiki/SpaceX_CRS-20"" title=""SpaceX CRS-20"">SpaceX CRS-20</a><br/>(Dragon C112.3 ♺)
</td>","1,977 kg","<td><a href=""/wiki/Low_Earth_orbit"" title=""Low Earth orbit"">LEO</a> (<a class=""mw-redirect"" href=""/wiki/ISS"" title=""ISS"">ISS</a>)
</td>","<td><a href=""/wiki/NASA"" title=""NASA"">NASA</a> (<a href=""/wiki/Commercial_Resupply_Services"" title=""Commercial Resupply Services"">CRS</a>)
</td>","Success
",F9 B5,Success,7 March 2020,04:50
83,"<td><a href=""/wiki/Kennedy_Space_Center"" title=""Kennedy Space Center"">KSC</a>,<br/><a href=""/wiki/Kennedy_Space_Center_Launch_Complex_39A"" title=""Kennedy Space Center Launch Complex 39A"">LC-39A</a>
</td>","<td><a href=""/wiki/Starlink"" title=""Starlink"">Starlink</a> 5 v1.0 (60 satellites)
</td>","15,600 kg","<td><a href=""/wiki/Low_Earth_orbit"" title=""Low Earth orbit"">LEO</a>
</td>","<td><a href=""/wiki/SpaceX"" title=""SpaceX"">SpaceX</a>
</td>","Success
",F9 B5,Failure,18 March 2020,12:16
84,"<td><a href=""/wiki/Kennedy_Space_Center"" title=""Kennedy Space Center"">KSC</a>,<br/><a href=""/wiki/Kennedy_Space_Center_Launch_Complex_39A"" title=""Kennedy Space Center Launch Complex 39A"">LC-39A</a>
</td>","<td><a href=""/wiki/Starlink"" title=""Starlink"">Starlink</a> 6 v1.0 (60 satellites)
</td>","15,600 kg","<td><a href=""/wiki/Low_Earth_orbit"" title=""Low Earth orbit"">LEO</a>
</td>","<td><a href=""/wiki/SpaceX"" title=""SpaceX"">SpaceX</a>
</td>","Success
",F9 B5,Success,22 April 2020,19:30
85,"<td><a href=""/wiki/Kennedy_Space_Center"" title=""Kennedy Space Center"">KSC</a>,<br/><a href=""/wiki/Kennedy_Space_Center_Launch_Complex_39A"" title=""Kennedy Space Center Launch Complex 39A"">LC-39A</a>
</td>","<td><a href=""/wiki/Crew_Dragon_Demo-2"" title=""Crew Dragon Demo-2"">Crew Dragon Demo-2</a><sup class=""reference"" id=""cite_ref-nsf20150305_424-1""><a href=""#cite_note-nsf20150305-424"">[414]</a></sup><br/>(<a class=""mw-redirect"" href=""/wiki/SpaceX_Crew_Dragon_Endeavour"" title=""SpaceX Crew Dragon Endeavour"">Crew Dragon C206.1 <i>Endeavour</i></a>)
</td>","12,530 kg","<td><a class=""mw-redirect"" href=""/wiki/Low_Earth_Orbit"" title=""Low Earth Orbit"">LEO</a> (<a class=""mw-redirect"" href=""/wiki/ISS"" title=""ISS"">ISS</a>)
</td>","<td><a href=""/wiki/NASA"" title=""NASA"">NASA</a> (<a class=""mw-redirect"" href=""/wiki/Commercial_Crew_Development"" title=""Commercial Crew Development"">CCDev</a>)
</td>","Success
",F9 B5,Success,30 May 2020,19:22
86,"<td><a class=""mw-redirect"" href=""/wiki/Cape_Canaveral_Air_Force_Station"" title=""Cape Canaveral Air Force Station"">CCAFS</a>,<br/><a href=""/wiki/Cape_Canaveral_Space_Launch_Complex_40"" title=""Cape Canaveral Space Launch Complex 40"">SLC-40</a>
</td>","<td><a href=""/wiki/Starlink"" title=""Starlink"">Starlink</a> 7 v1.0 (60 satellites)
</td>","15,600 kg","<td><a href=""/wiki/Low_Earth_orbit"" title=""Low Earth orbit"">LEO</a>
</td>","<td><a href=""/wiki/SpaceX"" title=""SpaceX"">SpaceX</a>
</td>","Success
",F9 B5,Success,4 June 2020,01:25
87,"<td><a class=""mw-redirect"" href=""/wiki/Cape_Canaveral_Air_Force_Station"" title=""Cape Canaveral Air Force Station"">CCAFS</a>,<br/><a href=""/wiki/Cape_Canaveral_Space_Launch_Complex_40"" title=""Cape Canaveral Space Launch Complex 40"">SLC-40</a>
</td>","<td><a href=""/wiki/Starlink"" title=""Starlink"">Starlink</a> 8 v1.0 (58 satellites),<sup class=""reference"" id=""cite_ref-nsf20200612_536-0""><a href=""#cite_note-nsf20200612-536"">[524]</a></sup><sup class=""reference"" id=""cite_ref-537""><a href=""#cite_note-537"">[525]</a></sup><br/><a href=""/wiki/SkySat"" title=""SkySat"">SkySats</a>-16, -17, -18
</td>","15,410 kg","<td><a href=""/wiki/Low_Earth_orbit"" title=""Low Earth orbit"">LEO</a>
</td>","<td><a href=""/wiki/SpaceX"" title=""SpaceX"">SpaceX</a><br/><a href=""/wiki/Planet_Labs"" title=""Planet Labs"">Planet Labs</a>
</td>","Success
",F9 B5,Success,13 June 2020,09:21
88,"<td><a class=""mw-redirect"" href=""/wiki/Cape_Canaveral_Air_Force_Station"" title=""Cape Canaveral Air Force Station"">CCAFS</a>,<br/><a href=""/wiki/Cape_Canaveral_Space_Launch_Complex_40"" title=""Cape Canaveral Space Launch Complex 40"">SLC-40</a>
</td>","<td><a href=""/wiki/GPS_Block_III"" title=""GPS Block III"">GPS III</a>-<a href=""/wiki/List_of_GPS_satellites"" title=""List of GPS satellites"">03</a> (<i><a href=""/wiki/Matthew_Henson"" title=""Matthew Henson"">Matthew Henson</a></i>)
</td>","4,311 kg","<td><a href=""/wiki/Medium_Earth_orbit"" title=""Medium Earth orbit"">MEO</a>
</td>","<td><a href=""/wiki/United_States_Space_Force"" title=""United States Space Force"">U.S. Space Force</a><sup class=""reference"" id=""cite_ref-clark-20200630_542-1""><a href=""#cite_note-clark-20200630-542"">[530]</a></sup>
</td>","Success
",F9 B5,Success,30 June 2020,20:10:46
89,"<td><a class=""mw-redirect"" href=""/wiki/Cape_Canaveral_Air_Force_Station"" title=""Cape Canaveral Air Force Station"">CCAFS</a>,<br/><a href=""/wiki/Cape_Canaveral_Space_Launch_Complex_40"" title=""Cape Canaveral Space Launch Complex 40"">SLC-40</a>
</td>","<td><a href=""/wiki/ANASIS-II"" title=""ANASIS-II"">ANASIS-II</a>
</td>","5,000–6,000 kg","<td><a href=""/wiki/Geostationary_transfer_orbit"" title=""Geostationary transfer orbit"">GTO</a>
</td>","<td><a href=""/wiki/Republic_of_Korea_Army"" title=""Republic of Korea Army"">Republic of Korea Army</a>
</td>","Success
",F9 B5B1058.2,Success,20 July 2020,21:30
90,"<td><a href=""/wiki/Kennedy_Space_Center"" title=""Kennedy Space Center"">KSC</a>,<br/><a href=""/wiki/Kennedy_Space_Center_Launch_Complex_39A"" title=""Kennedy Space Center Launch Complex 39A"">LC-39A</a>
</td>","<td><a href=""/wiki/Starlink"" title=""Starlink"">Starlink</a> 9 v1.0 (57 Satellites),<sup class=""reference"" id=""cite_ref-nsf20200612_536-1""><a href=""#cite_note-nsf20200612-536"">[524]</a></sup><br/><a href=""/wiki/Spaceflight_Industries#BlackSky"" title=""Spaceflight Industries"">SXRS-1 (BlackSky Global 7 and 8)</a>
</td>","14,932 kg","<td><a href=""/wiki/Low_Earth_orbit"" title=""Low Earth orbit"">LEO</a>
</td>","<td><a href=""/wiki/SpaceX"" title=""SpaceX"">SpaceX</a><br/><a href=""/wiki/Spaceflight_Industries"" title=""Spaceflight Industries"">Spaceflight Industries</a> (BlackSky)
</td>","Success
",F9 B5,Success,7 August 2020,05:12
91,"<td><a class=""mw-redirect"" href=""/wiki/Cape_Canaveral_Air_Force_Station"" title=""Cape Canaveral Air Force Station"">CCAFS</a>,<br/><a href=""/wiki/Cape_Canaveral_Space_Launch_Complex_40"" title=""Cape Canaveral Space Launch Complex 40"">SLC-40</a>
</td>","<td><a href=""/wiki/Starlink"" title=""Starlink"">Starlink</a> 10 v1.0 (58 satellites)<br/><a href=""/wiki/SkySat"" title=""SkySat"">SkySat</a>-19, -20, -21
</td>","~15,440 kg","<td><a href=""/wiki/Low_Earth_orbit"" title=""Low Earth orbit"">LEO</a>
</td>","<td><a href=""/wiki/SpaceX"" title=""SpaceX"">SpaceX</a><br/><a href=""/wiki/Planet_Labs"" title=""Planet Labs"">Planet Labs</a>
</td>","Success
",F9 B5B1049.6,Success,18 August 2020,14:31
92,"<td><a class=""mw-redirect"" href=""/wiki/Cape_Canaveral_Air_Force_Station"" title=""Cape Canaveral Air Force Station"">CCAFS</a>,<br/><a href=""/wiki/Cape_Canaveral_Space_Launch_Complex_40"" title=""Cape Canaveral Space Launch Complex 40"">SLC-40</a>
</td>","<td><a class=""mw-redirect"" href=""/wiki/SAOCOM_1B"" title=""SAOCOM 1B"">SAOCOM 1B</a><sup class=""reference"" id=""cite_ref-skyrocket-saocom1b_568-0""><a href=""#cite_note-skyrocket-saocom1b-568"">[556]</a></sup><br/><a class=""new"" href=""/w/index.php?title=GNOMES_1&amp;action=edit&amp;redlink=1"" title=""GNOMES 1 (page does not exist)"">GNOMES 1</a><sup class=""reference"" id=""cite_ref-skyrocket-saocom1b_568-1""><a href=""#cite_note-skyrocket-saocom1b-568"">[556]</a></sup><br/><a href=""/wiki/Tyvak"" title=""Tyvak"">Tyvak-0172</a><sup class=""reference"" id=""cite_ref-SAOCOM_1B_Mission_569-0""><a href=""#cite_note-SAOCOM_1B_Mission-569"">[557]</a></sup>
</td>","3,130 kg","<td><a href=""/wiki/Sun-synchronous_orbit"" title=""Sun-synchronous orbit"">SSO</a>
</td>","<td><a class=""mw-redirect"" href=""/wiki/CONAE"" title=""CONAE"">CONAE</a><br/><a class=""new"" href=""/w/index.php?title=PlanetIQ&amp;action=edit&amp;redlink=1"" title=""PlanetIQ (page does not exist)"">PlanetIQ</a><br/><a href=""/wiki/Tyvak"" title=""Tyvak"">Tyvak</a>
</td>","Success
",F9 B5,Success,30 August 2020,23:18
93,"<td><a href=""/wiki/Kennedy_Space_Center"" title=""Kennedy Space Center"">KSC</a>,<br/><a href=""/wiki/Kennedy_Space_Center_Launch_Complex_39A"" title=""Kennedy Space Center Launch Complex 39A"">LC-39A</a>
</td>","<td><a href=""/wiki/Starlink"" title=""Starlink"">Starlink</a> 11 v1.0 (60 satellites)
</td>","15,600 kg","<td><a href=""/wiki/Low_Earth_orbit"" title=""Low Earth orbit"">LEO</a>
</td>","<td><a href=""/wiki/SpaceX"" title=""SpaceX"">SpaceX</a>
</td>","Success
",F9 B5B1060.2,Success,3 September 2020,12:46:14
94,"<td><a href=""/wiki/Kennedy_Space_Center"" title=""Kennedy Space Center"">KSC</a>,<br/><a href=""/wiki/Kennedy_Space_Center_Launch_Complex_39A"" title=""Kennedy Space Center Launch Complex 39A"">LC-39A</a>
</td>","<td><a href=""/wiki/Starlink"" title=""Starlink"">Starlink</a> 12 v1.0 (60 satellites)
</td>","15,600 kg","<td><a href=""/wiki/Low_Earth_orbit"" title=""Low Earth orbit"">LEO</a>
</td>","<td><a href=""/wiki/SpaceX"" title=""SpaceX"">SpaceX</a>
</td>","Success
",F9 B5B1058.3,Success,6 October 2020,11:29:34
95,"<td><a href=""/wiki/Kennedy_Space_Center"" title=""Kennedy Space Center"">KSC</a>,<br/><a href=""/wiki/Kennedy_Space_Center_Launch_Complex_39A"" title=""Kennedy Space Center Launch Complex 39A"">LC-39A</a>
</td>","<td><a href=""/wiki/Starlink"" title=""Starlink"">Starlink</a> 13 v1.0 (60 satellites)
</td>","15,600 kg","<td><a href=""/wiki/Low_Earth_orbit"" title=""Low Earth orbit"">LEO</a>
</td>","<td><a href=""/wiki/SpaceX"" title=""SpaceX"">SpaceX</a>
</td>","Success
",F9 B5B1051.6,Success,18 October 2020,12:25:57
96,"<td><a class=""mw-redirect"" href=""/wiki/Cape_Canaveral_Air_Force_Station"" title=""Cape Canaveral Air Force Station"">CCAFS</a>,<br/><a href=""/wiki/Cape_Canaveral_Space_Launch_Complex_40"" title=""Cape Canaveral Space Launch Complex 40"">SLC-40</a>
</td>","<td><a href=""/wiki/Starlink"" title=""Starlink"">Starlink</a> 14 v1.0 (60 satellites)
</td>","15,600 kg","<td><a href=""/wiki/Low_Earth_orbit"" title=""Low Earth orbit"">LEO</a>
</td>","<td><a href=""/wiki/SpaceX"" title=""SpaceX"">SpaceX</a>
</td>","Success
",F9 B5,Success,24 October 2020,15:31:34
